,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
98,4.804951051,39.70535927,0.616615883,1860,2114.428571,2792,10,25.57857143,38.16,5.211664,6.77799,8.60839,3.522861409,0.785920861,201.4285714,13,47.71428571,56,9,50.71428571,85,903.78,949.2585714,1000,2,9.142857143,15,3,5.142857143,6,121,169,215,0.89,1.49,2.05,2,2,2,0,1.428571429,3,0,4.285714286,10,0,0,0,16.48,43.13285714,63.59,1,1.571428571,2,26.9815386,114.8917912,137.327,1.25,1.721428571,2.15,3.390597684
99,4.191588155,22.35547149,0.505207707,717.87,1815.674167,3743,4.85,15.89416667,22.39,5.5769,8.713269833,10.36001,2.916932091,0.751338563,124.25,4,25,57,13,66.25,88,388.36,732.5825,1560,2,11.33333333,16,2,3.666666667,6,96,131.0833333,207,1.1,2.045,2.58,2,2,2,0,2.416666667,4,0,0.25,1,0,0,0,7.89,26.29755208,36.8975,1,2.166666667,3,9.012182,56.43042755,138.90547,1,1.2625,1.95,5.682136174
100,3.016464725,14.88180935,0.815178756,77.36,1185.011429,2792,10,18.46,26.2,5.985768,9.703935429,14.5341,2.510677161,0.724131591,211.7142857,7,13.42857143,20,7,48.57142857,82,63.05,638.2314286,1115,2,9.142857143,15,2,3,4,71,123.1428571,176,1,1.961428571,3.04,2,2,2,0,1.428571429,3,0,0,0,0,0,0,14.76875,24.87089286,37.77,1,1.571428571,2,14.0067,27.03366266,40.078,0.65,1.228571429,1.8,4.573320505
101,4.043705726,30.06502737,0.569139944,1757,1949,2792,10,20.45285714,26.2,5.985768,7.164345429,8.60839,3.284602466,0.779862273,199.7142857,13,32.28571429,51,7,49.85714286,85,903.78,998.5442857,1115,2,9.142857143,15,3,4.285714286,5,121,152.2857143,176,1,1.537142857,2.05,2,2,2,0,1.428571429,3,0,4.285714286,10,0,0,0,16.48,32.06714286,37.77,1,1.571428571,2,26.9815386,73.21364837,121.76,1.25,1.571428571,1.8,3.323973491
102,4.58122286,23.57734624,0.517019456,717.87,1673.840833,3743,10,16.57333333,22.39,5.5769,8.685863167,10.36001,3.026986595,0.756971444,124.25,13,28.66666667,57,13,66.5,88,388.36,652.1008333,1193,3,12.16666667,16,3,3.916666667,6,105,135.0833333,207,1.1,2.055,2.58,2,2,2,0,2.416666667,4,0,1.083333333,10,0,0,0,16.48,27.26463542,36.8975,2,2.333333333,3,26.9815386,65.04699572,138.90547,1,1.304166667,1.95,5.39662019
103,3.92170331,20.36266522,0.495579488,717.87,1820.340833,3609,6.67,15.41833333,19.88,5.985768,8.753229,10.36001,2.859762715,0.766195929,124.25,13,22.41666667,39,12,65.25,88,388.36,901.4158333,1799,3,11.91666667,16,3,3.583333333,5,105,129.3333333,190,1.22,2.100833333,2.58,2,2,2,0,2.416666667,4,0,0.833333333,7,0,0,0,10.245,25.36067708,32.365,2,2.333333333,3,26.9815386,48.09060697,88.90585,1,1.25,1.8,5.612915847
104,4.978571486,10.21677466,0.496653387,90.2,1543.1,3200,7.11,12.9575,17.36,5.985768,10.237062,13.61805,2.146831139,0.638348247,118.5,8,14.5,29,64,77.75,87,54.8,600.21,1357.77,11,14,16,2,2.75,4,66,96.25,132,1.61,2.5975,3.44,1,1.75,2,0,2.25,4,0,2.5,10,0,0,0,9.105,11.44,16.48,2,2.25,3,15.9994,30.63158465,63.546,0.6,0.95,1.35,5.889076068
105,3.435993537,18.68563503,0.359431268,717.87,1856.935,3200,7.11,12.0425,15.53,5.985768,8.608042,10.36001,2.471043078,0.585254601,147.5,13,18.5,29,64,78.25,88,388.36,766.99,1357.77,11,14,16,3,3.25,4,105,115.75,132,1.61,2.1675,2.58,1,1.75,2,0,2.25,4,0,2.5,10,0,0,0,11.07,19.7809375,25.786875,2,2.25,3,26.9815386,38.66438465,63.546,1,1.15,1.35,4.520460028
106,4.651354686,22.17401551,0.352084156,958,1977,3200,7.11,12.4875,16.42,5.985768,8.304232,9.75239,2.616037722,0.575588097,119.5,13,27.5,34,64,78.75,89,494,819.81,1357.77,11,14,16,3,3.75,4,120,123.25,132,1.61,2.1525,2.55,1,1.75,2,0,2.25,4,0,7.5,10,0,0,0,11.07,19.8475,25.92,2,2.25,3,26.9815386,62.11188465,78.96,1.15,1.225,1.35,3.745780291
107,5.129281725,27.98121233,0.370563878,1261,2128.5,3200,7.11,14.5075,20.46,5.985768,7.932837,9.0096,2.827013004,0.585297658,188.5,13,36.5,52,64,79.25,90,722.66,934.14,1357.77,11,14,16,3,4.25,5,121,132.25,138,1.61,1.9275,2.1,1,1.75,2,0,2.25,4,0,7.5,10,0,0,0,11.07,24.26916667,34.76333333,2,2.25,3,26.9815386,86.43188465,127.6,1.25,1.35,1.4,3.338786738
